Designator,Mid X,Mid Y,Rotation,Layer
3V3/2,119.4189,-71.11055,90.0,top
BOOT1,107.0189,-74.11055,90.0,top
C1,129.8464,-88.34055,270.0,top
C10,107.4,-103.2,180.0,top
C11,146.0,-73.38,90.0,top
C12,128.8989,-119.74385,0.0,top
C13,126.8189,-119.74385,0.0,top
C14,151.3,-72.5,270.0,top
C15,121.915,-81.035,270.0,top
C2,127.3464,-88.34055,270.0,top
C3,109.6,-102.1,180.0,top
C4,136.0964,-85.32055,90.0,top
C5,143.0964,-88.86055,90.0,top
C6,140.0189,-77.51055,180.0,top
C7,140.0189,-79.91055,180.0,top
C8,146.0964,-88.86055,90.0,top
C9,107.4,-102.1,0.0,top
CAND1,119.6189,-79.51055,90.0,top
CANR1,119.6189,-77.5,90.0,top
CAN_TERM1,115.4689,-72.33555,0.0,bottom
D2,108.0,-114.0,90.0,top
D3,111.2189,-71.37055,90.0,top
D4,115.93,-114.53,90.0,top
D5,146.4189,-77.51055,0.0,top
D6,123.7189,-71.03555,90.0,top
D7,129.5589,-83.71055,0.0,top
D8,141.0964,-82.84055,180.0,top
D_TVS1,130.0189,-74.83555,180.0,top
F1,129.6964,-79.71055,0.0,top
H1,152.0,-119.0,0.0,top
H2,102.0,-119.0,0.0,top
H3,152.0,-64.0,0.0,top
H4,102.0,-64.0,0.0,top
J1,120.7189,-64.03555,0.0,top
J11,119.0,-105.55,90.0,top
J12,111.33,-107.08,0.0,top
J2,110.2189,-64.03555,0.0,top
J4,138.9189,-99.33055,180.0,top
J5,134.9189,-99.33055,180.0,top
J6,130.9189,-99.33055,180.0,top
J7,152.5,-99.37055,180.0,top
J8,148.5,-99.37055,180.0,top
J9,144.5,-99.33055,180.0,top
JP2,138.95,-106.0,180.0,bottom
JP3,134.9189,-106.02055,180.0,bottom
JP4,130.7689,-106.02055,180.0,bottom
L1,147.5964,-82.34055,0.0,top
R1,132.8464,-88.34055,270.0,top
R12,152.51,-105.87055,0.0,top
R13,148.51,-105.87055,0.0,top
R14,144.52,-105.87055,0.0,top
R15,138.9289,-106.11055,0.0,top
R16,134.8989,-106.11055,0.0,top
R17,130.8189,-106.11055,0.0,top
R18,122.9089,-103.91055,180.0,top
R19,122.9089,-104.91055,0.0,top
R2,132.8464,-90.85055,270.0,top
R22,112.5,-71.40055,270.0,top
R23,115.81,-112.08,90.0,top
R3,134.0964,-90.84055,270.0,top
R4,144.5964,-89.36055,0.0,top
R5,149.5964,-88.85055,270.0,top
R6,147.5964,-88.84055,90.0,top
R7,114.08,-111.62,270.0,top
R8,112.79,-111.74,270.0,top
R9,116.4189,-71.13555,180.0,top
RESET1,110.0189,-74.31055,270.0,top
SW1,110.65,-78.55,90.0,top
SW2,107.175,-78.5,270.0,top
TP_3V3,150.2189,-70.31055,0.0,top
TP_5V1,144.4189,-73.91055,0.0,top
TP_CS1,130.6189,-114.74385,0.0,top
TP_GND1,135.0189,-82.31055,90.0,top
TP_INT1,123.2189,-114.54385,0.0,top
TP_INT2,123.2189,-116.54385,0.0,top
TP_SCL1,130.6189,-116.74385,0.0,top
TP_SDA1,132.8189,-116.74385,0.0,top
U1,111.8589,-91.71055,90.0,top
U2,127.0,-116.993913,0.0,top
U3,115.2186,-77.0954,90.0,top
U4,138.71895,-88.74555,0.0,top
U5,148.6189,-73.91055,180.0,top
U6,110.9775,-112.28,270.0,top
XT30F1,131.4,-66.6,90.0,top
XT30F2,137.6489,-66.61055,90.0,top
XT30M1,143.89,-66.62,90.0,top
